Title,Artist,BPM,Key,Energy,Playlist,Order
What I Need,"Darby, Atura, Viq",142.00,11B,7,HACKATHON,1
Noche Without You,"Skrillex, Feid",140.00,6A,7,HACKATHON,2
Easy - Radio Edit,"Mat Zo, Porter Robinson",128.00,10A,6,HACKATHON,3
Delilah (pull me out of this),"Fred again.., Delilah Montagu",133.84,6A,8,HACKATHON,4
One More Time,Daft Punk,122.88,10B,7,HACKATHON,5
Welcome To My Island,Caroline Polachek,118.00,11B,6,HACKATHON,6
By Your Side,"G Jones, Eprom",139.91,3B,7,HACKATHON,7
Humid,Moody Good,140.00,9A,8,HACKATHON,8
BLIND,"ISOxoNOK, ISOxo, Knock2",128.00,3A,8,HACKATHON,9
how2fly,ISOxo,140.00,6B,8,HACKATHON,10
Duro,"Skrillex, Young Miko",150.00,5B,8,HACKATHON,11
Crying,Olle,131.00,12B,5,HACKATHON,12
TCHOCA,Lo Rey,105.00,8A,7,HACKATHON,13
